"Variable","Label","Block","Input_Type","Default_Value","Choices","Input_ID"
"Type","Type","Clinical","categorical","COM","SPS|COM","var_1"
"Gender","Gender","Clinical","categorical","Female","Female|Male","var_2"
"Age","Age","Clinical","numeric","16","","var_3"
"BMI","BMI","Auxiliary_for_imputation","numeric","19.69","","var_4"
"FMR","FMR","Clinical","numeric","0.26","","var_5"
"ST","ST","Clinical","categorical","1degree","No|1degree|2degree|3degree","var_6"
"SCT","SCT","Clinical","categorical","No","No|Flat_back|lordosis","var_7"
"ATI","ATI","Clinical","numeric","5","","var_8"
"KA","KA","Clinical","numeric","33","","var_9"
"C.LLB","C.LLB","Activity","numeric","44","","var_10"
"C.RLB","C.RLB","Activity","numeric","46","","var_11"
"T.LLB","T.LLB","Activity","numeric","40","","var_12"
"T.RLB","T.RLB","Activity","numeric","41","","var_13"
"L.LLB","L.LLB","Activity","numeric","28","","var_14"
"L.RLB","L.RLB","Activity","numeric","28","","var_15"
"C.FFT","C.FFT","Activity","numeric","72","","var_16"
"C.BF","C.BF","Activity","numeric","60","","var_17"
"T.FFT","T.FFT","Activity","numeric","70","","var_18"
"T.BF","T.BF","Activity","numeric","40","","var_19"
"L.FFT","L.FFT","Activity","numeric","121","","var_20"
"L.BF","L.BF","Activity","numeric","43","","var_21"
"C.LHR","C.LHR","Activity","numeric","72","","var_22"
"C.RHR","C.RHR","Activity","numeric","73","","var_23"
"T.LHR","T.LHR","Activity","numeric","33","","var_24"
"T.RHR","T.RHR","Activity","numeric","33","","var_25"
"L.LHR","L.LHR","Activity","numeric","47","","var_26"
"L.RHR","L.RHR","Activity","numeric","42","","var_27"
"HB","HB","Balance","numeric","2","","var_28"
"SB","SB","Balance","numeric","2","","var_29"
"PB","PB","Balance","numeric","2","","var_30"
